espn_name,team
Abilene Christian,Abilene Christian
Abilene Christian Wildcats,Abilene Christian
Air Force,Air Force
Air Force Falcons,Air Force
Akron,Akron
Akron Zips,Akron
Alabama,Alabama
Alabama A&M,Alabama A&M
Alabama A&M Bulldogs,Alabama A&M
Alabama Crimson Tide,Alabama
Alabama State,Alabama State
Alabama State Hornets,Alabama State
Alcorn State,Alcorn State
Alcorn State Braves,Alcorn State
App State,App State
App State Mountaineers,App State
Arizona,Arizona
Arizona State,Arizona State
Arizona State Sun Devils,Arizona State
Arizona Wildcats,Arizona
Arkansas,Arkansas
Arkansas Razorbacks,Arkansas
Arkansas State,Arkansas State
Arkansas State Red Wolves,Arkansas State
Arkansas-Pine Bluff,Arkansas-Pine Bluff
Arkansas-Pine Bluff Golden Lions,Arkansas-Pine Bluff
Army,Army
Army Black Knights,Army
Auburn,Auburn
Auburn Tigers,Auburn
Austin Peay,Austin Peay
Austin Peay Governors,Austin Peay
BYU,BYU
BYU Cougars,BYU
Ball State,Ball State
Ball State Cardinals,Ball State
Baylor,Baylor
Baylor Bears,Baylor
Bethune-Cookman,Bethune-Cookman
Bethune-Cookman Wildcats,Bethune-Cookman
Boise State,Boise State
Boise State Broncos,Boise State
Boston College,Boston College
Boston College Eagles,Boston College
Bowling Green,Bowling Green
Bowling Green Falcons,Bowling Green
Brown,Brown
Brown Bears,Brown
Bryant,Bryant
Bryant Bulldogs,Bryant
Bucknell,Bucknell
Bucknell Bison,Bucknell
Buffalo,Buffalo
Buffalo Bulls,Buffalo
Butler,Butler
Butler Bulldogs,Butler
Cal Poly,Cal Poly
Cal Poly Mustangs,Cal Poly
California,California
California Golden Bears,California
Campbell,Campbell
Campbell Fighting Camels,Campbell
Central Arkansas,Central Arkansas
Central Arkansas Bears,Central Arkansas
Central Connecticut,Central Connecticut
Central Connecticut Blue Devils,Central Connecticut
Central Michigan,Central Michigan
Central Michigan Chippewas,Central Michigan
Charleston Southern,Charleston Southern
Charleston Southern Buccaneers,Charleston Southern
Charlotte,Charlotte
Charlotte 49ers,Charlotte
Chattanooga,Chattanooga
Chattanooga Mocs,Chattanooga
Chicago State,Chicago State
Chicago State Cougars,Chicago State
Cincinnati,Cincinnati
Cincinnati Bearcats,Cincinnati
Clemson,Clemson
Clemson Tigers,Clemson
Coastal Carolina,Coastal Carolina
Coastal Carolina Chanticleers,Coastal Carolina
Colgate,Colgate
Colgate Raiders,Colgate
Colorado,Colorado
Colorado Buffaloes,Colorado
Colorado State,Colorado State
Colorado State Rams,Colorado State
Columbia,Columbia
Columbia Lions,Columbia
Cornell,Cornell
Cornell Big Red,Cornell
Dartmouth,Dartmouth
Dartmouth Big Green,Dartmouth
Davidson,Davidson
Davidson Wildcats,Davidson
Dayton,Dayton
Dayton Flyers,Dayton
Delaware,Delaware
Delaware Blue Hens,Delaware
Delaware State,Delaware State
Delaware State Hornets,Delaware State
Drake,Drake
Drake Bulldogs,Drake
Duke,Duke
Duke Blue Devils,Duke
Duquesne,Duquesne
Duquesne Dukes,Duquesne
East Carolina,East Carolina
East Carolina Pirates,East Carolina
East Tennessee State,East Tennessee State
East Tennessee State Buccaneers,East Tennessee State
East Tennessee State Bucs,East Tennessee State
East Texas A&M,East Texas A&M
East Texas A&M Lions,East Texas A&M
Eastern Illinois,Eastern Illinois
Eastern Illinois Panthers,Eastern Illinois
Eastern Kentucky,Eastern Kentucky
Eastern Kentucky Colonels,Eastern Kentucky
Eastern Michigan,Eastern Michigan
