away team,home team,game date (Pacific)
Massachusetts,Rutgers,2026-09-03
Bethune-Cookman,UCF,2026-09-03
Akron,Wake Forest,2026-09-03
Merrimack,Delaware,2026-09-03
West Georgia,Kennesaw State,2026-09-03
UAlbany,Buffalo,2026-09-03
Arkansas-Pine Bluff,Missouri,2026-09-03
Colorado,Georgia Tech,2026-09-03
Eastern Illinois,Minnesota,2026-09-03
Idaho,Utah,2026-09-03
UAB,Illinois,2026-09-03
Kentucky,Morehead State,2026-09-03
Lindenwood,Stony Brook,2026-09-03
Southern Illinois,Samford,2026-09-03
San Jose State,Eastern Michigan,2026-09-04
Indiana State,Purdue,2026-09-04
North Carolina A&T,Georgia State,2026-09-04
UTEP,Oklahoma,2026-09-04
Long Island University,Kansas,2026-09-04
Toledo,Michigan State,2026-09-04
Miami,Stanford,2026-09-04
Fresno State,USC,2026-09-04
North Texas,Indiana,2026-09-05
East Carolina,Alabama,2026-09-05
Oregon State,Houston,2026-09-05
Coastal Carolina,West Virginia,2026-09-05
New Hampshire,Syracuse,2026-09-05
Ohio,Nebraska,2026-09-05
Lafayette,UConn,2026-09-05
Bryant,Army,2026-09-05
Tarleton State,Bowling Green,2026-09-05
Liberty,James Madison,2026-09-05
Ball State,Ohio State,2026-09-05
Miami (OH),Pittsburgh,2026-09-05
Kent State,South Carolina,2026-09-05
Youngstown State,Kentucky,2026-09-05
Southeast Missouri State,Iowa State,2026-09-05
Duquesne,Air Force,2026-09-05
Rhode Island,Temple,2026-09-05
Tennessee State,Georgia,2026-09-05
Boise State,Oregon,2026-09-05
Texas State,Texas,2026-09-05
Marshall,Penn State,2026-09-05
Furman,Tennessee,2026-09-05
Baylor,Auburn,2026-09-05
Boston College,Cincinnati,2026-09-05
Tulane,Duke,2026-09-05
The Citadel,Charlotte,2026-09-05
Towson,Navy,2026-09-05
UT Rio Grande Valley,UTSA,2026-09-05
Fordham,North Dakota State,2026-09-05
Maine,App State,2026-09-05
Oklahoma State,Tulsa,2026-09-05
Northern Illinois,Iowa,2026-09-05
North Alabama,Arkansas,2026-09-05
Alcorn State,Southern Miss,2026-09-05
Wyoming,Colorado State,2026-09-05
Norfolk State,Old Dominion,2026-09-05
Missouri State,Texas A&M,2026-09-05
Abilene Christian,Texas Tech,2026-09-05
Austin Peay,Vanderbilt,2026-09-05
Nicholls,Kansas State,2026-09-05
Idaho State,Utah State,2026-09-05
Arkansas State,Memphis,2026-09-05
Houston Christian,Rice,2026-09-05
Florida International,South Florida,2026-09-05
Murray State,Middle Tennessee,2026-09-05
Eastern Kentucky,Jacksonville State,2026-09-05
Charleston Southern,Georgia Southern,2026-09-05
SE Louisiana,South Alabama,2026-09-05
Sam Houston,Troy,2026-09-05
Clemson,LSU,2026-09-05
Western Michigan,Michigan,2026-09-05
UL Monroe,Mississippi State,2026-09-05
VMI,Virginia Tech,2026-09-05
Northwestern State,Louisiana Tech,2026-09-05
Florida Atlantic,Florida,2026-09-05
Utah Tech,BYU,2026-09-05
Hampton,Maryland,2026-09-05
South Dakota State,Northwestern,2026-09-05
Lamar,Louisiana,2026-09-05
Mercyhurst,New Mexico State,2026-09-05
Northern Arizona,Arizona,2026-09-05
Portland State,San Diego State,2026-09-05
Morgan State,Arizona State,2026-09-05
UNLV,Hawai'i,2026-09-05
Central Michigan,New Mexico,2026-09-05
Mississippi Valley State,Sacramento State,2026-09-05
UCLA,California,2026-09-05
Western Kentucky,Nevada,2026-09-05
Stonehill,New Haven,2026-09-05
Southern,Wagner,2026-09-05
Lehigh,Georgetown,2026-09-05
Holy Cross,Colgate,2026-09-05
Gardner-Webb,Wofford,2026-09-05
Sacred Heart,Monmouth,2026-09-05
Drake,Montana,2026-09-05
Western Carolina,Campbell,2026-09-05
USC,East Tennessee State,2026-09-05
Elon,Davidson,2026-09-05
Delaware State,William & Mary,2026-09-05
West Virginia,Robert Morris,2026-09-05
Villanova,Bucknell,2026-09-05
Presbyterian,Mercer,2026-09-05
Tennessee Tech,Chattanooga,2026-09-05
Richmond,Howard,2026-09-05
Chicago State,UT Martin,2026-09-05
Illinois State,Western Illinois,2026-09-05
West Florida,Central Arkansas,2026-09-05
Northern Iowa,Eastern Washington,2026-09-05
Kentucky,Southern,2026-09-05
Texas,McNeese,2026-09-05
South Dakota,Northern Colorado,2026-09-05
Washington,Cal Poly,2026-09-05
Weber State,Southern Utah,2026-09-05
East Texas A&M,Stephen F. Austin,2026-09-05
Butler,Montana State,2026-09-05
UC Davis,San Diego,2026-09-05
Washington State,Washington,2026-09-06
Wisconsin,Notre Dame,2026-09-06
Louisville,Ole Miss,2026-09-06
Texas Southern,Prairie View A&M,2026-09-06
South Carolina State,Florida A&M,2026-09-06
SMU,Florida State,2026-09-07
Florida A&M,Miami,2026-09-10
Villanova,Louisville,2026-09-11
Norfolk State,Virginia,2026-09-11
Richmond,NC State,2026-09-11
Rutgers,Boston College,2026-09-11
Missouri,Kansas,2026-09-11
Oregon,Oklahoma State,2026-09-12
Howard,Indiana,2026-09-12
Arizona State,Texas A&M,2026-09-12
Oklahoma,Michigan,2026-09-12
Penn State,Temple,2026-09-12
Washington State,Kansas State,2026-09-12
East Tennessee State,North Carolina,2026-09-12
Old Dominion,Virginia Tech,2026-09-12
Wake Forest,Purdue,2026-09-12
South Florida,Army,2026-09-12
App State,East Carolina,2026-09-12
Wofford,Kent State,2026-09-12
Western Kentucky,Georgia,2026-09-12
UT Martin,West Virginia,2026-09-12
Colgate,Central Michigan,2026-09-12
Holy Cross,Miami (OH),2026-09-12
Stony Brook,Ball State,2026-09-12
Rice,Notre Dame,2026-09-12
Alabama,Kentucky,2026-09-12
Arizona,BYU,2026-09-12
Utah State,Washington,2026-09-12
Mississippi State,Minnesota,2026-09-12
Weber State,Colorado,2026-09-12
UCF,Pittsburgh,2026-09-12
California,Syracuse,2026-09-12
Duke,Illinois,2026-09-12
Eastern Michigan,Michigan State,2026-09-12
Maryland,UConn,2026-09-12
UTSA,Texas State,2026-09-12
UL Monroe,UAB,2026-09-12
Robert Morris,Akron,2026-09-12
Central Connecticut,Toledo,2026-09-12
Sacred Heart,Massachusetts,2026-09-12
Wagner,James Madison,2026-09-12
UNLV,North Texas,2026-09-12
UC Davis,SMU,2026-09-12
Northern Colorado,Wyoming,2026-09-12
Mercyhurst,New Mexico,2026-09-12
Alabama State,Troy,2026-09-12
Delaware,Vanderbilt,2026-09-12
Campbell,Florida,2026-09-12
Memphis,Boise State,2026-09-12
Buffalo,Florida International,2026-09-12
Jacksonville State,Ohio,2026-09-12
Gardner-Webb,Liberty,2026-09-12
Monmouth,Western Michigan,2026-09-12
Tennessee,Georgia Tech,2026-09-12
Southern,Houston,2026-09-12
Towson,South Carolina,2026-09-12
Western Carolina,Cincinnati,2026-09-12
Bowling Green,Nebraska,2026-09-12
Southern Utah,Colorado State,2026-09-12
Tulsa,Sam Houston,2026-09-12
Illinois State,Northern Illinois,2026-09-12
South Alabama,Tulane,2026-09-12
West Georgia,Arkansas State,2026-09-12
Georgia State,Kennesaw State,2026-09-12
Middle Tennessee,Marshall,2026-09-12
Lindenwood,Missouri State,2026-09-12
San Diego State,UCLA,2026-09-12
Western Illinois,Wisconsin,2026-09-12
Ohio State,Texas,2026-09-12
Louisiana Tech,LSU,2026-09-12
Texas Tech,Oregon State,2026-09-12
Iowa State,Iowa,2026-09-12
Georgia Southern,Clemson,2026-09-12
Navy,Florida Atlantic,2026-09-12
Fordham,Coastal Carolina,2026-09-12
Charlotte,Ole Miss,2026-09-12
Southern Miss,Auburn,2026-09-12
Prairie View A&M,Baylor,2026-09-12
Grambling,TCU,2026-09-12
Cal Poly,San Jose State,2026-09-12
Texas Southern,UTEP,2026-09-12
North Dakota State,Air Force,2026-09-12
Arkansas,Utah,2026-09-12
Sacramento State,Fresno State,2026-09-12
Montana State,Nevada,2026-09-12
Louisiana,USC,2026-09-12
New Mexico State,Hawai'i,2026-09-12
Elon,Rhode Island,2026-09-12
Marist,Lafayette,2026-09-12
Kentucky,Chicago State,2026-09-12
Bucknell,VMI,2026-09-12
Eastern Washington,South Dakota,2026-09-12
Duquesne,Youngstown State,2026-09-12
William & Mary,Lehigh,2026-09-12
Drake,Northern Iowa,2026-09-12
Utah Tech,Montana,2026-09-12
Lamar,Idaho,2026-09-12
Stetson,Bethune-Cookman,2026-09-12
Merrimack,Maine,2026-09-12
Morehead State,Austin Peay,2026-09-12
Incarnate Word,Northern Arizona,2026-09-12
Bryant,Hampton,2026-09-12
Stonehill,New Hampshire,2026-09-12
UAlbany,Long Island University,2026-09-12
North Carolina A&T,North Carolina Central,2026-09-12
