Team,Elo,Conference,RatingUpdated
Davidson Wildcats,1058.6747461989585,A10,True
Dayton Flyers,1139.344645264923,A10,False
Duquesne Dukes,1022.6978535436344,A10,False
Fordham Rams,1038.6426473165702,A10,False
George Mason Patriots,1041.1161607673157,A10,False
George Washington Revolutionaries,1083.701048242556,A10,False
La Salle Explorers,911.9796587409808,A10,True
Loyola Chicago Ramblers,867.2866871868879,A10,False
Rhode Island Rams,990.0662029563672,A10,False
Richmond Spiders,1003.1094533584036,A10,False
Saint Louis Billikens,1224.79524016581,A10,False
St. Bonaventure Bonnies,1005.2573006349444,A10,False
Saint Joseph's Hawks,1082.040962311523,A10,False
VCU Rams,1196.984440558222,A10,False
Boston College Eagles,951.6335433963036,ACC,False
California Golden Bears,1087.5860017198202,ACC,False
Clemson Tigers,1142.7386059118603,ACC,False
Duke Blue Devils,1339.4690316893125,ACC,False
Florida State Seminoles,1107.7287242862228,ACC,False
Georgia Tech Yellow Jackets,926.6988924478608,ACC,False
Louisville Cardinals,1171.3215932011026,ACC,False
Miami Hurricanes,1194.5966366847829,ACC,False
NC State Wolfpack,1132.4717680108702,ACC,False
North Carolina Tar Heels,1181.9070750134483,ACC,False
Notre Dame Fighting Irish,1018.9334617588796,ACC,False
Pittsburgh Panthers,1018.098244781752,ACC,False
SMU Mustangs,1122.4603821097712,ACC,False
Stanford Cardinal,1097.6045294447842,ACC,False
Syracuse Orange,1041.6627330369874,ACC,False
Virginia Cavaliers,1237.6333934260736,ACC,False
Virginia Tech Hokies,1113.9715311979398,ACC,False
Wake Forest Demon Deacons,1068.2227572728068,ACC,False
Binghamton Bearcats,806.8784412824073,America East,False
Bryant Bulldogs,827.8958645548403,America East,False
Maine Black Bears,848.5693325385403,America East,False
New Hampshire Wildcats,799.0829478252414,America East,False
NJIT Highlanders,897.5702635620358,America East,False
UAlbany Great Danes,890.7599224552454,America East,False
UMass Lowell River Hawks,919.2267212687266,America East,False
UMBC Retrievers,1060.1188546845826,America East,False
Vermont Catamounts,1002.7652222170208,America East,False
Charlotte 49ers,989.7518728640746,American,True
East Carolina Pirates,963.9834382938895,American,True
Florida Atlantic Owls,1015.6426047371787,American,True
Memphis Tigers,980.3151379482177,American,True
North Texas Mean Green,1029.1993209949983,American,True
Rice Owls,951.7833066068708,American,True
South Florida Bulls,1203.2077007893927,American,True
Temple Owls,957.7947364836338,American,True
Tulane Green Wave,1012.3534407260695,American,True
Tulsa Golden Hurricane,1143.365977943464,American,False
UAB Blazers,1050.9379077075941,American,True
UTSA Roadrunners,777.5554901435529,American,True
Wichita State Shockers,1128.163558187429,American,True
Austin Peay Governors,1036.7083241985604,ASUN,False
Bellarmine Knights,931.1480789621454,ASUN,False
Central Arkansas Bears,1074.6794991765366,ASUN,False
Eastern Kentucky Colonels,885.169101050643,ASUN,False
Florida Gulf Coast Eagles,901.6288484197232,ASUN,False
Jacksonville Dolphins,893.0790812849643,ASUN,False
Lipscomb Bisons,992.7252890096318,ASUN,False
North Alabama Lions,813.7417010239742,ASUN,False
North Florida Ospreys,812.957624820427,ASUN,False
Queens University Royals,1010.7163824786938,ASUN,False
Stetson Hatters,884.3069649934404,ASUN,False
West Georgia Wolves,916.2239104529772,ASUN,False
Illinois Fighting Illini,1244.9797408166328,Big 10,False
Indiana Hoosiers,1072.7435375292418,Big 10,True
Iowa Hawkeyes,1142.4250517712924,Big 10,False
Maryland Terrapins,962.4767363710241,Big 10,True
Michigan Wolverines,1333.9461787182458,Big 10,False
Michigan State Spartans,1240.4778992292497,Big 10,True
Minnesota Golden Gophers,1063.791762989691,Big 10,False
Nebraska Cornhuskers,1223.9586243506342,Big 10,False
Northwestern Wildcats,1025.276023051725,Big 10,False
Ohio State Buckeyes,1146.2893841762357,Big 10,True
Oregon Ducks,1017.0201620490084,Big 10,False
Penn State Nittany Lions,931.7939709386646,Big 10,False
Purdue Boilermakers,1193.3817152917761,Big 10,True
Rutgers Scarlet Knights,973.2256653997242,Big 10,True
UCLA Bruins,1110.4979299811555,Big 10,False
USC Trojans,1042.9910728828568,Big 10,False
Washington Huskies,1044.8860286331517,Big 10,False
Wisconsin Badgers,1154.146201374034,Big 10,False
Arizona Wildcats,1314.96654147325,Big 12,False
Arizona State Sun Devils,1062.108930409624,Big 12,False
Baylor Bears,1074.0889707207143,Big 12,False
BYU Cougars,1131.0534232494597,Big 12,False
Cincinnati Bearcats,1155.1093523717498,Big 12,False
Colorado Buffaloes,1055.1457371780398,Big 12,False
Houston Cougars,1240.5431203617504,Big 12,False
Iowa State Cyclones,1214.3635812464954,Big 12,False
Kansas Jayhawks,1203.681989163513,Big 12,False
Kansas State Wildcats,983.8406270164102,Big 12,False
Oklahoma State Cowboys,1034.2056662041352,Big 12,False
TCU Horned Frogs,1116.7679539703056,Big 12,False
Texas Tech Red Raiders,1249.4420193603876,Big 12,False
UCF Knights,1119.878759963688,Big 12,False
Utah Utes,957.0971044725592,Big 12,False
West Virginia Mountaineers,1074.2923952875728,Big 12,False
Butler Bulldogs,1018.1798034641188,Big East,False
Creighton Bluejays,1017.4587529769992,Big East,False
DePaul Blue Demons,1056.6024201207122,Big East,True
Georgetown Hoyas,1001.0823747490172,Big East,False
Marquette Golden Eagles,1000.5660317363963,Big East,True
Providence Friars,1077.320477645445,Big East,False
Seton Hall Pirates,1079.524959196853,Big East,False
St. John's Red Storm,1237.459336943607,Big East,False
UConn Huskies,1255.2989399454218,Big East,False
Villanova Wildcats,1153.4734207403974,Big East,False
Xavier Musketeers,1028.149057683461,Big East,False
Eastern Washington Eagles,1044.5150338498718,Big Sky,False
Idaho Vandals,966.773826398783,Big Sky,False
Idaho State Bengals,891.1378857549483,Big Sky,False
Montana Grizzlies,963.2013702010192,Big Sky,False
Montana State Bobcats,1009.663448524934,Big Sky,False
Northern Arizona Lumberjacks,846.6291629164463,Big Sky,False
Northern Colorado Bears,1018.0480631299872,Big Sky,False
Portland State Vikings,978.487179075349,Big Sky,False
Sacramento State Hornets,867.6478526904176,Big Sky,False
Weber State Wildcats,989.5483640113476,Big Sky,False
Charleston Southern Buccaneers,954.21033961873,Big South,False
Gardner-Webb Runnin' Bulldogs,670.188527049728,Big South,False
High Point Panthers,1175.1556017113164,Big South,False
Longwood Lancers,973.9372930183076,Big South,False
Presbyterian Blue Hose,917.8003496348724,Big South,False
Radford Highlanders,975.2099127174464,Big South,False
South Carolina Upstate Spartans,897.853080780079,Big South,False
UNC Asheville Bulldogs,942.2307597163948,Big South,False
Winthrop Eagles,1071.3150298073797,Big South,False
Cal Poly Mustangs,993.738191684841,Big West,False
Cal State Bakersfield Roadrunners,772.8896988099854,Big West,False
Cal State Fullerton Titans,997.7273305841444,Big West,False
Cal State Northridge Matadors,1032.5691194679105,Big West,False
Hawai'i Rainbow Warriors,1055.3523790659422,Big West,False
Long Beach State Beach,879.8379190550063,Big West,False
UC Davis Aggies,1010.5483314464052,Big West,False
UC Irvine Anteaters,1087.2156894831094,Big West,False
UC Riverside Highlanders,913.4378954051266,Big West,False
UC San Diego Tritons,1068.8619289104763,Big West,False
UC Santa Barbara Gauchos,1030.1195527117425,Big West,False
Campbell Fighting Camels,985.7904654123604,CAA,False
Charleston Cougars,1103.953955276959,CAA,True
Drexel Dragons,1015.6702834012194,CAA,False
Elon Phoenix,926.1246481256304,CAA,False
Hampton Pirates,943.7440384498732,CAA,False
Hofstra Pride,1112.9005215157204,CAA,False
Monmouth Hawks,1037.82576171687,CAA,False
North Carolina A&T Aggies,928.8637682694956,CAA,False
Northeastern Huskies,839.422442278969,CAA,False
Stony Brook Seawolves,980.8322932739547,CAA,False
Towson Tigers,1015.3638057072444,CAA,False
UNC Wilmington Seahawks,1122.4568094152114,CAA,True
