away team,home team,game date (Pacific)
UMBC Retrievers,Howard Bison,2026-03-17
Texas Longhorns,NC State Wolfpack,2026-03-17
Liberty Flames,George Mason Patriots,2026-03-17
UNC Wilmington Seahawks,Yale Bulldogs,2026-03-17
Wyoming Cowboys,Wichita State Shockers,2026-03-17
Davidson Wildcats,Oklahoma State Cowboys,2026-03-17
Stephen F. Austin Lumberjacks,Tulsa Golden Hurricane,2026-03-17
St. Thomas-Minnesota Tommies,Seattle U Redhawks,2026-03-17
South Alabama Jaguars,Auburn Tigers,2026-03-17
UNLV Rebels,UC Irvine Anteaters,2026-03-17
