Team,Elo,Division,Notes,RatingUpdated
Boston Celtics,1115.3002989401807,E Atlantic,,False
New York Knicks,1254.261255733686,E Atlantic,,False
Toronto Raptors,1066.2830470567192,E Atlantic,,False
Brooklyn Nets,741.953122244686,E Atlantic,,False
Philadelphia 76ers,1088.016258514756,E Atlantic,,False
Cleveland Cavaliers,1131.340108082639,E Central,,False
Indiana Pacers,831.6322031817111,E Central,,False
Milwaukee Bucks,843.0799346276461,E Central,,False
Detroit Pistons,1146.6833876876383,E Central,,False
Chicago Bulls,811.4032595943256,E Central,,False
Orlando Magic,1088.9240948587449,E Southeast,,False
Miami Heat,1039.6503969052476,E Southeast,,False
Atlanta Hawks,1053.8786724387776,E Southeast,,False
Charlotte Hornets,1118.2916876585334,E Southeast,,False
Washington Wizards,669.1891203763918,E Southeast,,False
Oklahoma City Thunder,1244.984988801956,W Northwest,,False
Denver Nuggets,1126.1520766485394,W Northwest,,False
Minnesota Timberwolves,1135.6844972666888,W Northwest,,True
Portland Trail Blazers,1031.178559872589,W Northwest,,False
Utah Jazz,756.1851514449827,W Northwest,,False
Los Angeles Lakers,1086.194015979632,W Pacific,,False
Los Angeles Clippers,1009.3,W Pacific,,False
Golden State Warriors,873.024948020489,W Pacific,,False
Sacramento Kings,841.546789215638,W Pacific,,False
Phoenix Suns,1005.4502582428422,W Pacific,,False
Houston Rockets,1101.1982955654173,W Southwest,,False
Memphis Grizzlies,695.3683046904728,W Southwest,,False
Dallas Mavericks,868.9418922256386,W Southwest,,False
San Antonio Spurs,1252.2936482106863,W Southwest,,True
New Orleans Pelicans,912.4097259127444,W Southwest,,False
