date,home team,road team
11/9/2025,Atlanta Falcons,Indianapolis Colts
11/9/2025,Buffalo Bills,Miami Dolphins
11/9/2025,Cleveland Browns,New York Jets
11/9/2025,Jacksonville Jaguars,Houston Texans
11/9/2025,New Orleans Saints,Carolina Panthers
11/9/2025,New England Patriots,Tampa Bay Buccaneers
11/9/2025,New York Giants,Chicago Bears
11/9/2025,Baltimore Ravens,Minnesota Vikings
11/9/2025,Arizona Cardinals,Seattle Seahawks
11/9/2025,Detroit Lions,Washington Commanders
11/9/2025,Los Angeles Rams,San Francisco 49ers
11/9/2025,Pittsburgh Steelers,Los Angeles Chargers
11/10/2025,Philadelphia Eagles,Green Bay Packers
11/13/2025,New York Jets,New England Patriots
11/16/2025,Washington Commanders,Miami Dolphins
11/16/2025,Carolina Panthers,Atlanta Falcons
11/16/2025,Chicago Bears,Minnesota Vikings
11/16/2025,Cincinnati Bengals,Pittsburgh Steelers
11/16/2025,Green Bay Packers,New York Giants
11/16/2025,Houston Texans,Tennessee Titans
11/16/2025,Los Angeles Chargers,Jacksonville Jaguars
11/16/2025,Tampa Bay Buccaneers,Buffalo Bills
11/16/2025,Seattle Seahawks,Los Angeles Rams
11/16/2025,San Francisco 49ers,Arizona Cardinals
11/16/2025,Kansas City Chiefs,Denver Broncos
11/16/2025,Baltimore Ravens,Cleveland Browns
11/16/2025,Detroit Lions,Philadelphia Eagles
11/17/2025,Dallas Cowboys,Las Vegas Raiders
11/20/2025,Buffalo Bills,Houston Texans
11/23/2025,Indianapolis Colts,Kansas City Chiefs
11/23/2025,Minnesota Vikings,Green Bay Packers
11/23/2025,New England Patriots,Cincinnati Bengals
11/23/2025,New York Giants,Detroit Lions
11/23/2025,New York Jets,Baltimore Ravens
11/23/2025,Pittsburgh Steelers,Chicago Bears
11/23/2025,Seattle Seahawks,Tennessee Titans
11/23/2025,Cleveland Browns,Las Vegas Raiders
11/23/2025,Jacksonville Jaguars,Arizona Cardinals
11/23/2025,Atlanta Falcons,New Orleans Saints
11/23/2025,Philadelphia Eagles,Dallas Cowboys
11/23/2025,Tampa Bay Buccaneers,Los Angeles Rams
11/24/2025,Carolina Panthers,San Francisco 49ers
11/27/2025,Green Bay Packers,Detroit Lions
11/27/2025,Kansas City Chiefs,Dallas Cowboys
11/27/2025,Cincinnati Bengals,Baltimore Ravens
11/28/2025,Chicago Bears,Philadelphia Eagles
11/30/2025,Atlanta Falcons,New York Jets
11/30/2025,Arizona Cardinals,Tampa Bay Buccaneers
11/30/2025,Houston Texans,Indianapolis Colts
11/30/2025,Jacksonville Jaguars,Tennessee Titans
11/30/2025,New Orleans Saints,Miami Dolphins
11/30/2025,Los Angeles Rams,Carolina Panthers
11/30/2025,San Francisco 49ers,Cleveland Browns
11/30/2025,Minnesota Vikings,Seattle Seahawks
11/30/2025,Buffalo Bills,Pittsburgh Steelers
11/30/2025,Las Vegas Raiders,Los Angeles Chargers
11/30/2025,Denver Broncos,Washington Commanders
12/1/2025,New York Giants,New England Patriots
12/4/2025,Dallas Cowboys,Detroit Lions
12/7/2025,Chicago Bears,Green Bay Packers
12/7/2025,Indianapolis Colts,Jacksonville Jaguars
12/7/2025,Miami Dolphins,New York Jets
12/7/2025,New Orleans Saints,Tampa Bay Buccaneers
12/7/2025,Tennessee Titans,Cleveland Browns
12/7/2025,Pittsburgh Steelers,Baltimore Ravens
12/7/2025,Seattle Seahawks,Atlanta Falcons
12/7/2025,Washington Commanders,Minnesota Vikings
12/7/2025,Denver Broncos,Las Vegas Raiders
12/7/2025,Cincinnati Bengals,Buffalo Bills
12/7/2025,Los Angeles Rams,Arizona Cardinals
12/7/2025,Houston Texans,Kansas City Chiefs
12/8/2025,Philadelphia Eagles,Los Angeles Chargers
12/11/2025,Atlanta Falcons,Tampa Bay Buccaneers
12/14/2025,Buffalo Bills,New England Patriots
12/14/2025,Cleveland Browns,Chicago Bears
12/14/2025,Arizona Cardinals,Houston Texans
12/14/2025,New York Jets,Jacksonville Jaguars
12/14/2025,Las Vegas Raiders,Philadelphia Eagles
12/14/2025,Baltimore Ravens,Cincinnati Bengals
12/14/2025,Los Angeles Chargers,Kansas City Chiefs
12/14/2025,Washington Commanders,New York Giants
12/14/2025,Carolina Panthers,New Orleans Saints
12/14/2025,Indianapolis Colts,Seattle Seahawks
12/14/2025,Detroit Lions,Los Angeles Rams
12/14/2025,Green Bay Packers,Denver Broncos
12/14/2025,Tennessee Titans,San Francisco 49ers
12/14/2025,Minnesota Vikings,Dallas Cowboys
12/15/2025,Miami Dolphins,Pittsburgh Steelers
12/18/2025,Los Angeles Rams,Seattle Seahawks
12/20/2025,Green Bay Packers,Chicago Bears
12/20/2025,Philadelphia Eagles,Washington Commanders
12/21/2025,Buffalo Bills,Cleveland Browns
12/21/2025,Kansas City Chiefs,Tennessee Titans
12/21/2025,Minnesota Vikings,New York Giants
12/21/2025,New England Patriots,Baltimore Ravens
12/21/2025,New York Jets,New Orleans Saints
12/21/2025,Los Angeles Chargers,Dallas Cowboys
12/21/2025,Tampa Bay Buccaneers,Carolina Panthers
12/21/2025,Atlanta Falcons,Arizona Cardinals
12/21/2025,Jacksonville Jaguars,Denver Broncos
12/21/2025,Pittsburgh Steelers,Detroit Lions
12/21/2025,Las Vegas Raiders,Houston Texans
12/21/2025,Cincinnati Bengals,Miami Dolphins
12/22/2025,San Francisco 49ers,Indianapolis Colts
12/25/2025,Dallas Cowboys,Washington Commanders
12/25/2025,Detroit Lions,Minnesota Vikings
12/25/2025,Denver Broncos,Kansas City Chiefs
12/28/2025,Arizona Cardinals,Cincinnati Bengals
12/28/2025,Houston Texans,Los Angeles Chargers
12/28/2025,Jacksonville Jaguars,Indianapolis Colts
12/28/2025,New Orleans Saints,Tennessee Titans
12/28/2025,New England Patriots,New York Jets
12/28/2025,New York Giants,Las Vegas Raiders
12/28/2025,Pittsburgh Steelers,Cleveland Browns
12/28/2025,Baltimore Ravens,Green Bay Packers
12/28/2025,Seattle Seahawks,Carolina Panthers
12/28/2025,Tampa Bay Buccaneers,Miami Dolphins
12/28/2025,Philadelphia Eagles,Buffalo Bills
12/28/2025,Chicago Bears,San Francisco 49ers
12/29/2025,Los Angeles Rams,Atlanta Falcons
1/4/2026,Carolina Panthers,Tampa Bay Buccaneers
1/4/2026,Cleveland Browns,Cincinnati Bengals
1/4/2026,Indianapolis Colts,Houston Texans
1/4/2026,Arizona Cardinals,Los Angeles Rams
1/4/2026,Dallas Cowboys,New York Giants
1/4/2026,Detroit Lions,Chicago Bears
1/4/2026,Green Bay Packers,Minnesota Vikings
1/4/2026,Kansas City Chiefs,Las Vegas Raiders
1/4/2026,Miami Dolphins,New England Patriots
1/4/2026,New Orleans Saints,Atlanta Falcons
1/4/2026,New York Jets,Buffalo Bills
1/4/2026,Tennessee Titans,Jacksonville Jaguars
1/4/2026,Baltimore Ravens,Pittsburgh Steelers
1/4/2026,Los Angeles Chargers,Denver Broncos
1/4/2026,Seattle Seahawks,San Francisco 49ers

1/4/2026,Washington Commanders,Philadelphia Eagles
