Team,Elo,Division,Wins,Losses,Notes
Buffalo Bills,1005.3,AFC East,4,2,
Miami Dolphins,954.3,AFC East,1,5,
New England Patriots,1035.4,AFC East,4,2,
New York Jets,929.6,AFC East,0,6,
Baltimore Ravens,939.4,AFC North,1,5,
Cincinnati Bengals,942.6,AFC North,2,4,
Cleveland Browns,943.8,AFC North,1,5,
Pittsburgh Steelers,1029.7,AFC North,4,1,
Houston Texans,1020.1,AFC South,2,3,
Indianapolis Colts,1049.6,AFC South,5,1,
Jacksonville Jaguars,1019.6,AFC South,4,2,
Tennessee Titans,929.4,AFC South,1,5,
Denver Broncos,1052.1,AFC West,4,2,
Kansas City Chiefs,1039.6,AFC West,3,3,
Las Vegas Raiders,963.8,AFC West,2,4,
Los Angeles Chargers,1002.9,AFC West,4,2,
Dallas Cowboys,978.8,NFC East,2,3,
New York Giants,978.8,NFC East,2,4,
Philadelphia Eagles,999.7,NFC East,4,2,
Washington Commanders,1017.0,NFC East,3,3,
Chicago Bears,1005.0,NFC North,3,2,
Detroit Lions,1036.0,NFC North,4,2,
Green Bay Packers,1026.2,NFC North,3,1,
Minnesota Vikings,1018.0,NFC North,3,2,
Atlanta Falcons,1021.1,NFC South,3,2,
Carolina Panthers,992.1,NFC South,3,3,
New Orleans Saints,955.0,NFC South,1,5,
Tampa Bay Buccaneers,1041.1,NFC South,5,1,
Arizona Cardinals,993.7,NFC West,2,4,
Los Angeles Rams,1028.0,NFC West,4,2,
San Francisco 49ers,1005.6,NFC West,4,2,
Seattle Seahawks,1046.7,NFC West,4,2,
