Team,Elo,Division,Notes,RatingUpdated
Florida Panthers,997.6397288136887,E Atlantic,,False
Boston Bruins,1027.4801778816022,E Atlantic,,False
Montreal Canadiens,1020.679277327995,E Atlantic,,False
Toronto Maple Leafs,946.8782209262472,E Atlantic,,False
Detroit Red Wings,974.4187205514552,E Atlantic,,False
Ottawa Senators,1026.2982650053355,E Atlantic,,True
Tampa Bay Lightning,1004.5940559158784,E Atlantic,,False
Buffalo Sabres,1021.251576132279,E Atlantic,,False
Carolina Hurricanes,1044.446832863763,E Metropolitan,,True
Washington Capitals,1034.1068975939163,E Metropolitan,,False
Pittsburgh Penguins,998.8418848417666,E Metropolitan,,True
New York Rangers,1010.8079032577548,E Metropolitan,,False
Columbus Blue Jackets,994.0205415424648,E Metropolitan,,False
New Jersey Devils,1005.5768552404272,E Metropolitan,,False
Philadelphia Flyers,1044.2554792727988,E Metropolitan,,True
New York Islanders,966.3646307261112,E Metropolitan,,False
Colorado Avalanche,1030.8963806658746,W Central,,False
Dallas Stars,1007.2248941300355,W Central,,True
Winnipeg Jets,973.3598132188272,W Central,,False
Nashville Predators,987.680014251789,W Central,,False
Minnesota Wild,1020.1227117835555,W Central,,True
St. Louis Blues,1033.072702916803,W Central,,False
Utah Mammoth,997.4022915808667,W Central,,False
Chicago Blackhawks,965.236093681057,W Central,,False
Seattle Kraken,956.324985204213,W Pacific,,False
Vegas Golden Knights,1030.0045881144597,W Pacific,,False
Edmonton Oilers,1013.1365345043828,W Pacific,,False
Vancouver Canucks,938.3382188878523,W Pacific,,False
Anaheim Ducks,983.9491732796984,W Pacific,,False
San Jose Sharks,975.5163085229188,W Pacific,,False
Los Angeles Kings,983.8522046705853,W Pacific,,False
Calgary Flames,986.1220366936,W Pacific,,False
