away team,home team,game date (Pacific)
Ohio Bobcats,Miami (OH) RedHawks,2026-03-13
Southern Jaguars,Alabama A&M Bulldogs,2026-03-13
William & Mary Tribe,Charleston Cougars,2026-03-13
Coppin State Eagles,Howard Bison,2026-03-13
Toledo Rockets,Ball State Cardinals,2026-03-13
Indiana State Sycamores,Murray State Racers,2026-03-13
Norfolk State Spartans,Maryland Eastern Shore Hawks,2026-03-13
Monmouth Hawks,Stony Brook Seawolves,2026-03-13
Tarleton State Texans,California Baptist Lancers,2026-03-13
Hawai'i Rainbow Wahine,UC Irvine Anteaters,2026-03-13
Bradley Braves,Northern Iowa Panthers,2026-03-13
Brown Bears,Princeton Tigers,2026-03-13
Maine Black Bears,Vermont Catamounts,2026-03-13
UT Arlington Mavericks,Abilene Christian Wildcats,2026-03-13
Arkansas-Pine Bluff Golden Lions,Alabama State Lady Hornets,2026-03-13
UC Davis Aggies,UC San Diego Tritons,2026-03-13
Hofstra Pride,Campbell Fighting Camels,2026-03-13
Liberty Flames,Louisiana Tech Lady Techsters,2026-03-13
Evansville Purple Aces,Belmont Bruins,2026-03-13
North Texas Mean Green,Rice Owls,2026-03-13
Harvard Crimson,Columbia Lions,2026-03-13
Elon Phoenix,Drexel Dragons,2026-03-13
Missouri State Bears,Florida International Panthers,2026-03-13
Drake Bulldogs,Illinois State Redbirds,2026-03-13
UTSA Roadrunners,East Carolina Pirates,2026-03-13
