Team,Elo,Conference,Notes,RatingUpdated
Abilene Christian Wildcats,1000,WAC,,FALSE
Air Force Falcons,1000,Mountain West,,FALSE
Akron Zips,1000,MAC,,FALSE
Alabama A&M Bulldogs,1000,SWAC,,FALSE
Alabama Crimson Tide,1000,SEC,,FALSE
Alabama State Hornets,1000,SWAC,,FALSE
Alcorn State Braves,1000,SWAC,,FALSE
American University Eagles,1000,Patriot,,FALSE
App State Mountaineers,1000,Sun Belt,,FALSE
Arizona State Sun Devils,1000,Big 12,,FALSE
Arizona Wildcats,1000,Big 12,,FALSE
Arkansas Razorbacks,1000,SEC,,FALSE
Arkansas State Red Wolves,1000,Sun Belt,,FALSE
Arkansas-Pine Bluff Golden Lions,1000,SWAC,,FALSE
Army Black Knights,1000,Patriot,,FALSE
Auburn Tigers,1000,SEC,,FALSE
Austin Peay Governors,1000,ASUN,,FALSE
BYU Cougars,1000,Big 12,,FALSE
Ball State Cardinals,1000,MAC,,FALSE
Baylor Bears,1000,Big 12,,FALSE
Bellarmine Knights,1000,ASUN,,FALSE
Belmont Bruins,1000,MVC,,FALSE
Bethune-Cookman Wildcats,1000,SWAC,,FALSE
Binghamton Bearcats,1000,America East,,FALSE
Boise State Broncos,1000,Mountain West,,FALSE
Boston College Eagles,1000,ACC,,FALSE
Bowling Green Falcons,1000,MAC,,FALSE
Bradley Braves,1000,MVC,,FALSE
Brown Bears,1000,Ivy League,,FALSE
Bryant Bulldogs,1000,America East,,FALSE
Bucknell Bison,1000,Patriot,,FALSE
Buffalo Bulls,1000,MAC,,FALSE
Butler Bulldogs,1000,Big East,,FALSE
Cal Poly Mustangs,1000,Big West,,FALSE
Cal State Bakersfield Roadrunners,1000,Big West,,FALSE
Cal State Fullerton Titans,1000,Big West,,FALSE
Cal State Northridge Matadors,1000,Big West,,FALSE
California Baptist Lancers,1000,WAC,,FALSE
California Golden Bears,1000,ACC,,FALSE
Campbell Fighting Camels,1000,CAA,,FALSE
Canisius Golden Griffins,1000,MAAC,,FALSE
Central Arkansas Bears,1000,ASUN,,FALSE
Central Connecticut Blue Devils,1000,NEC,,FALSE
Central Michigan Chippewas,1000,MAC,,FALSE
Charleston Cougars,1000,CAA,,FALSE
Charleston Southern Buccaneers,1000,Big South,,FALSE
Charlotte 49ers,1000,American,,FALSE
Chattanooga Mocs,1000,Southern,,FALSE
Chicago State Cougars,1000,NEC,,FALSE
Cincinnati Bearcats,1000,Big 12,,FALSE
Clemson Tigers,1000,ACC,,FALSE
Cleveland State Vikings,1000,Horizon,,FALSE
Coastal Carolina Chanticleers,1000,Sun Belt,,FALSE
Colgate Raiders,1000,Patriot,,FALSE
Colorado Buffaloes,1000,Big 12,,FALSE
Colorado State Rams,1000,Mountain West,,FALSE
Columbia Lions,1000,Ivy League,,FALSE
Coppin State Eagles,1000,MEAC,,FALSE
Cornell Big Red,1000,Ivy League,,FALSE
