Team,Elo,Wins,Losses,Division,Notes
New England Patriots,1026.5,3,2,AFC East,
Buffalo Bills,1026.5,4,1,AFC East,
Miami Dolphins,960.4,1,4,AFC East,
New York Jets,932.9,0,5,AFC East,
Pittsburgh Steelers,1016.4,3,1,AFC North,
Cleveland Browns,957.1,1,4,AFC North,
Baltimore Ravens,953.3,1,4,AFC North,
Cincinnati Bengals,952.6,2,3,AFC North,
Indianapolis Colts,1043.8,4,1,AFC South,
Jacksonville Jaguars,1033.6,3,1,AFC South,
Houston Texans,1020.1,2,3,AFC South,
Tennessee Titans,945.0,1,4,AFC South,
Denver Broncos,1048.7,3,2,AFC West,
Kansas City Chiefs,1020.4,2,2,AFC West,
Los Angeles Chargers,996.8,3,2,AFC West,
Las Vegas Raiders,948.3,1,4,AFC West,
Philadelphia Eagles,1030.6,4,1,NFC East,
Washington Commanders,1030.5,3,2,NFC East,
Dallas Cowboys,990.1,2,2,NFC East,
New York Giants,947.9,1,4,NFC East,
Detroit Lions,1061.3,4,1,NFC North,
Minnesota Vikings,1018.0,3,2,NFC North,
Green Bay Packers,1016.2,2,1,NFC North,
Chicago Bears,991.5,2,2,NFC North,
Tampa Bay Buccaneers,1024.4,4,1,NFC South,
Atlanta Falcons,999.9,2,2,NFC South,
Carolina Panthers,980.8,2,3,NFC South,
New Orleans Saints,963.8,1,4,NFC South,
Seattle Seahawks,1026.7,3,2,NFC West,
San Francisco 49ers,1022.3,4,1,NFC West,
Los Angeles Rams,1014.1,3,2,NFC West,
Arizona Cardinals,999.5,2,3,NFC West,
